"name","label","geometry","site"
518,518,"44.0097 4.1409","ripisylves_gardon"
519,519,"44.0311 4.1078","ripisylves_gardon"
520,520,"44.0331 4.1285","ripisylves_gardon"
521,521,"44.0321 4.1299","ripisylves_gardon"
522,522,"44.0285 4.1093","ripisylves_gardon"
523,523,"44.0278 4.1071","ripisylves_gardon"
524,524,"44.0287 4.1125","ripisylves_gardon"
525,525,"44.0273 4.1147","ripisylves_gardon"
526,526,"44.0110 4.1480","ripisylves_gardon"
527,527,"44.0126 4.1503","ripisylves_gardon"
528,528,"44.0353 4.1195","ripisylves_gardon"
529,529,"44.0326 4.1118","ripisylves_gardon"
530,530,"44.0378 4.1158","ripisylves_gardon"
531,531,"44.0374 4.1157","ripisylves_gardon"
532,532,"43.8569 4.5889","ripisylves_gardon"
533,533,"43.8597 4.5876","ripisylves_gardon"
